text	label
PT em o governo	PROP PRP DET N
Gilberto=Dimenstein	PROP
Brasília=Pesquisa=Datafolha publicada hoje revela um dado supreendente	PROP V ADV V DET N ADJ
recusando uma postura radical a esmagadora maioria 77 $% de os eleitores quer o PT participando de o Governo=Fernando=Henrique=Cardoso	V DET N ADJ DET ADJ N NUM N PRP DET N V DET PROP V PRP DET PROP
Tem sentido aliás muitíssimo sentido	V V ADV DET N
Muito mais do=que em os tempos em a ditadura a solidez de o PT está agora ameaçada	ADV ADV KS PRP DET N PRP DET N DET N PRP DET PROP V ADV V
Nem Lula nem o partido ainda encontraram um discurso para se diferenciar	KC PROP KC DET N ADV V DET N PRP PERS V
Eles se dizem oposição mas ainda não informaram o que vão combater	PERS PERS V N KC ADV ADV V PERS KS V V
Muitas de as prioridades de o novo governo coincidem com as prioridades de o PT	DET PRP DET N PRP DET ADJ N V PRP DET N PRP DET PROP
Confissões chega a Portugal	N V PRP PROP
Desde o último dia 13 Confissões=de=Adolescente pode ser vista por os teens portugueses	PRP DET ADJ N NUM PROP V V V PRP DET N ADJ
A série exibida aqui por a Cultura estreou em a TVI de Portugal	DET N V ADV PRP DET N V PRP DET PROP PRP PROP
Além=disso a co-produção com o canal francês TF1 para a realização de mais 30 episódios continua sendo negociada	ADV DET N PRP DET N ADJ PROP PRP DET N PRP ADV NUM N V V V
Manchete estréia novo jornalístico	N V ADJ ADJ
Câmera=Manchete é o nome de o novo programa jornalístico que estréia quarta-feira a as 22h30 em a Rede=Manchete	PROP V DET N PRP DET ADJ N ADJ SPEC V N PRP DET NUM PRP DET PROP
Sob o comando de Ronaldo=Rosas o programa mostrará reportagens especiais de Sônia=Pompeu	PRP DET N PRP PROP DET N V N ADJ PRP PROP
A direção de o novo semanal será assinada por Ewaldo=Ruy	DET N PRP DET ADJ ADJ V V PRP PROP
Os jogadores se dividem por os dez quartos de o alojamento equipados com frigobar ar=condicionado televisão e telefone	DET N PERS V PRP DET NUM N PRP DET N V PRP N N N KC N
É uma coisa de o Primeiro=Mundo afirmou o levantador Maurício leia matéria a o lado	V DET N PRP DET PROP V DET N PROP V N PRP DET N
Além=de Maurício Carlão e Paulão a seleção deve contar hoje com Giovane	PRP PROP PROP KC PROP DET N V V ADV PRP PROP
